id,name,generic_name,category,dosage_form,strength,description,common_side_effects,contraindications,price,manufacturer,requires_prescription
1,Metformin,Metformin Hydrochloride,Diabetes,tablet,500mg,First-line medication for type 2 diabetes that improves insulin sensitivity,"nausea,diarrhea,stomach_upset,metallic_taste,vitamin_b12_deficiency","kidney_disease,liver_disease,alcohol_abuse,heart_failure",15.99,Generic Pharma,true
2,Glipizide,Glipizide,Diabetes,tablet,5mg,Sulfonylurea medication that stimulates insulin release,"hypoglycemia,weight_gain,nausea,dizziness,headache","type_1_diabetes,diabetic_ketoacidosis,sulfa_allergy",22.50,Sun Pharma,true
3,Januvia,Sitagliptin,Diabetes,tablet,100mg,DPP-4 inhibitor for blood sugar control,"headache,upper_respiratory_infection,stomach_pain","type_1_diabetes,diabetic_ketoacidosis,pancreatitis_history",285.00,Merck,true
4,Lisinopril,Lisinopril,Hypertension,tablet,10mg,ACE inhibitor for blood pressure control and heart protection,"dry_cough,dizziness,headache,fatigue,hyperkalemia","pregnancy,angioedema_history,bilateral_renal_artery_stenosis",12.99,Lupin Pharma,true
5,Amlodipine,Amlodipine Besylate,Hypertension,tablet,5mg,Calcium channel blocker for hypertension and angina,"swelling,dizziness,flushing,fatigue,palpitations","severe_hypotension,severe_aortic_stenosis,unstable_angina",18.75,Pfizer,true
6,Losartan,Losartan Potassium,Hypertension,tablet,50mg,ARB medication for blood pressure and kidney protection,"dizziness,fatigue,hyperkalemia,back_pain,nasal_congestion","pregnancy,bilateral_renal_artery_stenosis,hyperkalemia",25.00,Merck,true
7,Hydrochlorothiazide,Hydrochlorothiazide,Hypertension,tablet,25mg,Thiazide diuretic for blood pressure control,"frequent_urination,dizziness,low_potassium,increased_blood_sugar","anuria,sulfa_allergy,severe_kidney_disease",8.50,Generic,true
8,Aspirin,Acetylsalicylic Acid,Heart Disease,tablet,81mg,Blood thinner for heart attack and stroke prevention,"stomach_upset,bleeding,bruising,tinnitus","bleeding_disorders,aspirin_allergy,children_under_12,last_trimester_pregnancy",8.99,Bayer,false
9,Atorvastatin,Atorvastatin Calcium,Heart Disease,tablet,20mg,Statin medication for cholesterol management,"muscle_pain,liver_problems,digestive_issues,headache","liver_disease,pregnancy,breastfeeding",35.00,Pfizer,true
10,Clopidogrel,Clopidogrel,Heart Disease,tablet,75mg,Antiplatelet medication to prevent blood clots,"bleeding,bruising,stomach_pain,diarrhea","active_bleeding,severe_liver_disease",45.00,Sanofi,true
11,Metoprolol,Metoprolol Succinate,Heart Disease,tablet,25mg,Beta blocker for heart conditions and blood pressure,"fatigue,dizziness,cold_hands,slow_heartbeat,depression","severe_bradycardia,heart_block,cardiogenic_shock,asthma",20.00,AstraZeneca,true
12,Tamiflu,Oseltamivir,Influenza,capsule,75mg,Antiviral medication for influenza treatment and prevention,"nausea,vomiting,headache,diarrhea","severe_kidney_disease,allergy_to_oseltamivir",150.00,Roche,true
13,Tylenol,Acetaminophen,Pain Relief,tablet,500mg,Pain reliever and fever reducer for mild to moderate pain,"liver_damage_with_overdose,allergic_reactions,nausea","liver_disease,alcohol_dependence",9.99,Johnson & Johnson,false
14,Ibuprofen,Ibuprofen,Pain Relief,tablet,400mg,NSAID for pain inflammation and fever,"stomach_upset,ulcers,kidney_problems,dizziness","stomach_ulcers,kidney_disease,aspirin_allergy,heart_disease",11.99,Advil,false
15,Naproxen,Naproxen Sodium,Pain Relief,tablet,250mg,NSAID for pain and inflammation relief,"stomach_problems,dizziness,drowsiness,headache","stomach_ulcers,heart_disease,kidney_disease,aspirin_allergy",14.50,Aleve,false
16,Celebrex,Celecoxib,Arthritis,capsule,200mg,COX-2 inhibitor for arthritis pain with less GI effects,"stomach_upset,headache,dizziness,swelling","heart_disease,sulfa_allergy,stomach_ulcers,kidney_disease",180.00,Pfizer,true
17,Sumatriptan,Sumatriptan Succinate,Migraine,tablet,50mg,Triptan medication for acute migraine relief,"tingling,dizziness,drowsiness,chest_tightness,flushing","heart_disease,uncontrolled_hypertension,stroke_history,basilar_migraine",45.00,GlaxoSmithKline,true
18,Topiramate,Topiramate,Migraine Prevention,tablet,25mg,Anticonvulsant for migraine prevention,"tingling,weight_loss,memory_problems,fatigue,taste_changes","kidney_stones,glaucoma,pregnancy,metabolic_acidosis",55.00,Janssen,true
19,Cetirizine,Cetirizine Hydrochloride,Allergy,tablet,10mg,Second-generation antihistamine for allergy relief,"drowsiness,dry_mouth,fatigue,headache","severe_kidney_disease,allergy_to_cetirizine",12.00,Zyrtec,false
20,Loratadine,Loratadine,Allergy,tablet,10mg,Non-drowsy antihistamine for allergy symptoms,"headache,dry_mouth,fatigue,nervousness","liver_disease,kidney_disease",10.00,Claritin,false
21,Fluticasone,Fluticasone Propionate,Allergy,nasal spray,50mcg,Corticosteroid nasal spray for allergy symptoms,"nosebleeds,headache,sore_throat,nasal_irritation","recent_nasal_surgery,nasal_infections",22.00,Flonase,false
22,Albuterol,Albuterol Sulfate,Asthma,inhaler,90mcg,Bronchodilator for quick relief of asthma symptoms,"tremor,nervousness,rapid_heartbeat,headache","heart_rhythm_problems,severe_hypertension",35.00,Ventolin,true
23,Montelukast,Montelukast Sodium,Asthma,tablet,10mg,Leukotriene inhibitor for asthma and allergy control,"headache,stomach_pain,fatigue,mood_changes","allergy_to_montelukast",45.00,Singulair,true
24,Levothyroxine,Levothyroxine Sodium,Thyroid,tablet,50mcg,Synthetic thyroid hormone for hypothyroidism,"weight_loss,tremors,rapid_heartbeat,insomnia,anxiety","adrenal_insufficiency,thyrotoxicosis,recent_heart_attack",15.00,Synthroid,true
25,Methimazole,Methimazole,Thyroid,tablet,10mg,Antithyroid medication for hyperthyroidism,"rash,nausea,joint_pain,low_white_blood_cells","allergy_to_methimazole,severe_liver_disease",28.00,Tapazole,true
26,Ferrous Sulfate,Iron Supplement,Anemia,tablet,325mg,Iron supplement for iron deficiency anemia,"constipation,nausea,dark_stools,stomach_upset","hemochromatosis,hemolytic_anemia,iron_overload",8.00,Generic,false
27,Vitamin B12,Cyanocobalamin,Anemia,tablet,1000mcg,Vitamin supplement for B12 deficiency,"mild_diarrhea,nausea,headache","allergy_to_cobalamin",12.00,Generic,false
28,Omeprazole,Omeprazole,GERD,capsule,20mg,Proton pump inhibitor for acid reflux and ulcers,"headache,nausea,diarrhea,stomach_pain,vitamin_deficiency","allergy_to_ppis,osteoporosis_risk",18.00,Prilosec,false
29,Famotidine,Famotidine,GERD,tablet,20mg,H2 blocker for heartburn and acid reflux,"headache,dizziness,constipation,diarrhea","kidney_disease,allergy_to_famotidine",10.00,Pepcid,false
30,Ciprofloxacin,Ciprofloxacin,Antibiotic,tablet,500mg,Fluoroquinolone antibiotic for bacterial infections,"nausea,diarrhea,dizziness,tendon_problems","tendon_disorders,myasthenia_gravis,children",25.00,Generic,true
31,Amoxicillin,Amoxicillin,Antibiotic,capsule,500mg,Penicillin antibiotic for various bacterial infections,"diarrhea,nausea,rash,allergic_reactions","penicillin_allergy,mononucleosis",15.00,Generic,true
32,Azithromycin,Azithromycin,Antibiotic,tablet,250mg,Macrolide antibiotic for respiratory and skin infections,"nausea,diarrhea,stomach_pain,headache","liver_disease,heart_rhythm_problems,allergy_to_macrolides",28.00,Zithromax,true
33,Sertraline,Sertraline Hydrochloride,Mental Health,tablet,50mg,SSRI antidepressant for depression and anxiety,"nausea,diarrhea,insomnia,dizziness,sexual_dysfunction","maoi_use,pimozide_use",25.00,Zoloft,true
34,Escitalopram,Escitalopram Oxalate,Mental Health,tablet,10mg,SSRI antidepressant for depression and anxiety,"nausea,insomnia,fatigue,sexual_dysfunction","maoi_use,pimozide_use,qt_prolongation",30.00,Lexapro,true
35,Zolpidem,Zolpidem Tartrate,Sleep Aid,tablet,10mg,Sedative-hypnotic for short-term insomnia treatment,"drowsiness,dizziness,headache,memory_issues","severe_liver_disease,sleep_apnea,myasthenia_gravis",20.00,Ambien,true
36,Melatonin,Melatonin,Sleep Aid,tablet,3mg,Natural hormone supplement for sleep regulation,"headache,dizziness,nausea,drowsiness","autoimmune_disorders,depression,pregnancy",8.00,Generic,false
37,Orlistat,Orlistat,Weight Loss,capsule,120mg,Lipase inhibitor for weight management,"oily_stools,gas,frequent_bowel_movements,stomach_pain","chronic_malabsorption,cholestasis,pregnancy",65.00,Xenical,true
38,Multivitamin,Daily Multivitamin,Supplement,tablet,1 tablet,Comprehensive vitamin and mineral supplement,"nausea,constipation,upset_stomach","iron_overload,hypervitaminosis",15.00,Centrum,false
39,Vitamin D3,Cholecalciferol,Supplement,tablet,1000IU,Vitamin D supplement for bone health,"nausea,constipation,weakness_with_excess","hypercalcemia,kidney_disease",10.00,Generic,false
40,Omega-3,Fish Oil,Supplement,softgel,1000mg,Omega-3 fatty acids for heart and brain health,"fishy_aftertaste,nausea,loose_stools","fish_allergy,bleeding_disorders",18.00,Generic,false