id,name,display_name,description,body_system,severity_levels,common_causes,emergency_signs
1,fever,Fever,Elevated body temperature above 98.6°F (37°C),General,"mild,moderate,severe","infection,inflammation,heat_exhaustion,autoimmune_disease","temperature_above_103,confusion,difficulty_breathing,severe_headache"
2,cough,Cough,Sudden expulsion of air from the lungs to clear airways,Respiratory,"mild,moderate,severe","cold,flu,allergies,asthma,bronchitis,pneumonia","blood_in_cough,difficulty_breathing,lasting_over_3_weeks,chest_pain"
3,fatigue,Fatigue,Persistent tiredness and lack of energy,General,"mild,moderate,severe","anemia,thyroid_disorder,diabetes,depression,sleep_disorders,infections","sudden_onset,accompanied_by_chest_pain,confusion,weight_loss"
4,headache,Headache,Pain in any region of the head,Neurological,"mild,moderate,severe","tension,migraine,dehydration,eye_strain,sinusitis,hypertension","sudden_severe_onset,fever,stiff_neck,confusion,vision_changes"
5,chest_pain,Chest Pain,Discomfort or pain in the chest area,Cardiovascular,"mild,moderate,severe","heart_disease,muscle_strain,acid_reflux,anxiety,lung_problems","pressure_or_squeezing,spreading_to_arm_or_jaw,shortness_of_breath,sweating"
6,shortness_of_breath,Shortness of Breath,Difficulty breathing or feeling breathless,Respiratory,"mild,moderate,severe","asthma,heart_disease,anxiety,anemia,copd,pneumonia","sudden_onset,chest_pain,bluish_lips,inability_to_speak,wheezing"
7,nausea,Nausea,Sensation of unease in the stomach with urge to vomit,Gastrointestinal,"mild,moderate,severe","food_poisoning,pregnancy,medication,motion_sickness,migraine","blood_in_vomit,severe_abdominal_pain,dehydration,fever"
8,dizziness,Dizziness,Feeling of lightheadedness or unsteadiness,Neurological,"mild,moderate,severe","low_blood_pressure,dehydration,inner_ear_problems,anemia,anxiety","fainting,chest_pain,difficulty_speaking,numbness,severe_headache"
9,joint_pain,Joint Pain,Pain or discomfort in one or more joints,Musculoskeletal,"mild,moderate,severe","arthritis,injury,infection,autoimmune_disease,gout","severe_swelling,redness_and_warmth,inability_to_move_joint,fever"
10,skin_rash,Skin Rash,Change in skin appearance with redness or bumps,Dermatological,"mild,moderate,severe","allergy,infection,autoimmune_disease,medication_reaction,eczema","spreading_rapidly,difficulty_breathing,fever,blistering"
11,weight_loss,Unexplained Weight Loss,Unintentional decrease in body weight,General,"mild,moderate,severe","diabetes,thyroid_disorder,cancer,depression,infection","rapid_unexplained_loss,accompanied_by_other_symptoms,loss_of_appetite"
12,excessive_thirst,Excessive Thirst,Abnormally strong desire to drink fluids,Metabolic,"mild,moderate,severe","diabetes,dehydration,medication_side_effect,diabetes_insipidus","frequent_urination,blurred_vision,fatigue,unexplained_weight_loss"
13,frequent_urination,Frequent Urination,Need to urinate more often than usual,Urological,"mild,moderate,severe","diabetes,urinary_infection,enlarged_prostate,pregnancy,diuretics","blood_in_urine,pain_during_urination,fever,back_pain"
14,blurred_vision,Blurred Vision,Lack of sharpness in vision,Ophthalmological,"mild,moderate,severe","diabetes,eye_strain,migraine,glaucoma,cataracts,hypertension","sudden_onset,eye_pain,seeing_flashes,partial_vision_loss"
15,numbness,Numbness,Loss of sensation in a body part,Neurological,"mild,moderate,severe","diabetes,nerve_damage,stroke,multiple_sclerosis,carpal_tunnel","sudden_onset_one_side,difficulty_speaking,facial_drooping,confusion"
16,muscle_weakness,Muscle Weakness,Reduced strength in one or more muscles,Musculoskeletal,"mild,moderate,severe","thyroid_disorder,vitamin_deficiency,nerve_damage,myasthenia_gravis","sudden_onset,difficulty_breathing,difficulty_swallowing,drooping_eyelids"
17,abdominal_pain,Abdominal Pain,Pain or discomfort in the belly area,Gastrointestinal,"mild,moderate,severe","indigestion,gastritis,appendicitis,ulcer,gallstones","severe_sudden_pain,bloody_stool,high_fever,rigid_abdomen"
18,back_pain,Back Pain,Pain in the upper or lower back,Musculoskeletal,"mild,moderate,severe","muscle_strain,herniated_disc,arthritis,poor_posture,kidney_stones","weakness_in_legs,loss_of_bladder_control,fever,unexplained_weight_loss"
19,sore_throat,Sore Throat,Pain or irritation in the throat,Respiratory,"mild,moderate,severe","viral_infection,bacterial_infection,allergies,dry_air,acid_reflux","difficulty_breathing,difficulty_swallowing,high_fever,swollen_neck"
20,runny_nose,Runny Nose,Excess nasal drainage,Respiratory,"mild,moderate,severe","cold,allergies,sinus_infection,flu,irritants","bloody_discharge,lasting_over_10_days,high_fever,severe_headache"
21,sneezing,Sneezing,Sudden involuntary expulsion of air through nose,Respiratory,"mild,moderate,severe","allergies,cold,irritants,sinus_infection","persistent_sneezing,accompanied_by_rash,difficulty_breathing"
22,sweating,Excessive Sweating,Abnormal amount of perspiration,General,"mild,moderate,severe","fever,anxiety,hyperthyroidism,menopause,infection","night_sweats,unexplained_weight_loss,fever,chest_pain"
23,chills,Chills,Feeling of coldness with shivering,General,"mild,moderate,severe","fever,infection,hypothermia,anemia,hypothyroidism","high_fever,stiff_neck,confusion,difficulty_breathing"
24,loss_of_appetite,Loss of Appetite,Reduced desire to eat,General,"mild,moderate,severe","infection,depression,cancer,medication,liver_disease","unexplained_weight_loss,fatigue,abdominal_pain,jaundice"
25,insomnia,Insomnia,Difficulty falling or staying asleep,Sleep,"mild,moderate,severe","stress,anxiety,depression,caffeine,chronic_pain","lasting_over_month,daytime_impairment,accompanied_by_depression"
26,anxiety,Anxiety,Feeling of worry nervousness or unease,Mental Health,"mild,moderate,severe","stress,trauma,medical_conditions,caffeine,medications","panic_attacks,chest_pain,difficulty_breathing,thoughts_of_self_harm"
27,depression,Depressed Mood,Persistent feelings of sadness and hopelessness,Mental Health,"mild,moderate,severe","life_events,medical_conditions,genetics,medications","thoughts_of_suicide,inability_to_function,severe_weight_changes"
28,swelling,Swelling,Enlargement of body parts due to fluid accumulation,General,"mild,moderate,severe","injury,infection,heart_failure,kidney_disease,allergic_reaction","difficulty_breathing,chest_pain,sudden_severe_swelling,fever"
29,constipation,Constipation,Infrequent or difficult bowel movements,Gastrointestinal,"mild,moderate,severe","low_fiber_diet,dehydration,medications,hypothyroidism","blood_in_stool,severe_abdominal_pain,vomiting,no_bowel_movement_for_week"
30,diarrhea,Diarrhea,Loose watery stools occurring frequently,Gastrointestinal,"mild,moderate,severe","infection,food_intolerance,medication,ibs,stress","bloody_stool,severe_dehydration,high_fever,lasting_over_3_days"